x,rho,P,u,e,M,H
0.1725,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.18,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.1875,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.195,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.2025,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.21,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.2175,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.225,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.2325,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.24,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.2475,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.255,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.2625,0.468863382,0.446197772,0.644187749,2.379145982,0.558094705,3.330804375
0.27,0.25,0.1795,0,1.795,0,2.513
0.2775,0.25,0.1795,0,1.795,0,2.513
0.285,0.25,0.1795,0,1.795,0,2.513
0.2925,0.25,0.1795,0,1.795,0,2.513
0.3,0.25,0.1795,0,1.795,0,2.513
0.3075,0.25,0.1795,0,1.795,0,2.513
0.315,0.25,0.1795,0,1.795,0,2.513
0.3225,0.25,0.1795,0,1.795,0,2.513
0.33,0.25,0.1795,0,1.795,0,2.513
0.3375,0.25,0.1795,0,1.795,0,2.513
0.345,0.25,0.1795,0,1.795,0,2.513
0.3525,0.25,0.1795,0,1.795,0,2.513
0.36,0.25,0.1795,0,1.795,0,2.513
0.3675,0.25,0.1795,0,1.795,0,2.513
0.375,0.25,0.1795,0,1.795,0,2.513
0.3825,0.25,0.1795,0,1.795,0,2.513
0.39,0.25,0.1795,0,1.795,0,2.513
0.3975,0.25,0.1795,0,1.795,0,2.513
0.405,0.25,0.1795,0,1.795,0,2.513
0.4125,0.25,0.1795,0,1.795,0,2.513
0.42,0.25,0.1795,0,1.795,0,2.513
0.4275,0.25,0.1795,0,1.795,0,2.513
0.435,0.25,0.1795,0,1.795,0,2.513
0.4425,0.25,0.1795,0,1.795,0,2.513
0.45,0.25,0.1795,0,1.795,0,2.513
0.4575,0.25,0.1795,0,1.795,0,2.513
0.465,0.25,0.1795,0,1.795,0,2.513
0.4725,0.25,0.1795,0,1.795,0,2.513
0.48,0.25,0.1795,0,1.795,0,2.513
0.4875,0.25,0.1795,0,1.795,0,2.513
0.495,0.25,0.1795,0,1.795,0,2.513
0.5025,0.25,0.1795,0,1.795,0,2.513
0.51,0.25,0.1795,0,1.795,0,2.513
0.5175,0.25,0.1795,0,1.795,0,2.513
0.525,0.25,0.1795,0,1.795,0,2.513
0.5325,0.25,0.1795,0,1.795,0,2.513
0.54,0.25,0.1795,0,1.795,0,2.513
0.5475,0.25,0.1795,0,1.795,0,2.513
0.555,0.25,0.1795,0,1.795,0,2.513
0.5625,0.25,0.1795,0,1.795,0,2.513
0.57,0.25,0.1795,0,1.795,0,2.513
0.5775,0.25,0.1795,0,1.795,0,2.513
0.585,0.25,0.1795,0,1.795,0,2.513
0.5925,0.25,0.1795,0,1.795,0,2.513
0.6,0.25,0.1795,0,1.795,0,2.513
